Movie_ID,Actor_ID
1,21
1,22
1,23
1,24
2,10
2,17
2,18
2,19
2,20
3,9
3,27
3,28
3,29
4,30
4,31
4,32
4,33
4,34
4,35
4,36
5,30
5,31
5,32
5,33
5,34
5,35
5,36
6,1
6,2
6,4
6,5
6,25
6,33
6,37
6,38
6,39
6,40
6,41
6,42
6,43
6,44
6,45
6,46
6,47
6,48
6,49
6,50
6,51
6,52
6,53
6,55
6,56
7,2
7,4
7,37
7,38
7,39
7,40
7,41
7,42
7,43
7,44
7,45
7,46
7,47
7,49
7,50
7,51
7,52
7,53
8,1
8,2
8,4
8,25
8,37
8,40
8,41
8,42
8,43
8,45
8,51
9,2
9,33
9,37
9,45
9,51
10,2
10,33
10,45
11,1
11,54
11,55
11,56
12,1
12,54
12,55
12,56
13,4
13,5
13,47
14,4
14,5
14,33
14,37
14,42
14,47
15,4
15,5
15,42
15,47
16,57
16,58
17,3
17,60
18,61
18,62
19,63
20,3
20,65
21,83
22,99
22,100
23,21
23,24
23,98
24,82
25,95
25,96
25,97
26,92
26,93
26,94
27,44
27,53
27,75
27,87
27,88
27,89
27,90
27,91
28,83
28,86
29,12
29,26
29,40
29,84
29,85
30,78
30,79
30,80
31,68
31,69
32,81
32,82
33,64
33,65
33,73
33,74
33,75
34,7
34,53
34,59
34,62
34,76
34,77
35,70
35,71
35,72
36,67
37,65
37,66
38,61
